Unnamed: 0,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Vehicle Type
2506,JC45487,Washington,5639.941974,Yes,Basic,High School or Below,1/10/11,Employed,M,73168,Suburban,Married,70,21.0,50,0.0,3,Personal Auto,Personal L2,Offer2,Agent,425.800112,Four-Door Car,Medsize,
2511,CM59084,Oregon,3600.934326,Yes,Basic,High School or Below,2/25/11,Retired,F,25147,Suburban,Single,101,7.0,54,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,694.598288,SUV,Medsize,
2513,VC34764,California,7019.177186,Yes,Basic,College,1/23/11,Retired,M,26806,Suburban,Married,63,32.0,19,0.0,2,Personal Auto,Personal L2,Offer1,Agent,302.4,Four-Door Car,Medsize,A
2514,HN45134,Arizona,5757.442258,Yes,Basic,Master,1/31/11,Employed,M,88997,Rural,Divorced,72,9.0,71,0.0,3,Personal Auto,Personal L3,Offer2,Branch,174.041566,Four-Door Car,Small,
2515,ES16126,California,4330.38602,Yes,Premium,College,2/16/11,Employed,M,60475,Suburban,Married,107,9.0,18,0.0,1,Personal Auto,Personal L1,Offer2,Branch,513.6,Four-Door Car,Medsize,
2520,KD63998,California,2674.730716,Yes,Basic,College,2/15/11,Employed,M,56342,Suburban,Single,69,12.0,89,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,331.2,Four-Door Car,Small,A
2526,UI99818,Oregon,4349.30875,Yes,Basic,College,2/10/11,Employed,F,75648,Rural,Married,108,28.0,10,0.0,1,Personal Auto,Personal L2,Offer2,Branch,112.660916,SUV,Large,
2532,ZG10765,Nevada,5678.050167,Yes,Extended,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,76,8.0,44,0.0,3,Personal Auto,Personal L2,Offer2,Agent,364.8,Four-Door Car,Small,A
2533,GA86186,Oregon,3230.576665,Yes,Extended,College,1/5/11,Employed,M,62873,Urban,Divorced,81,0.0,41,0.0,1,Special Auto,Special L3,Offer2,Call Center,207.75186,Four-Door Car,Medsize,A
2534,IS63925,Arizona,7805.31287,Yes,Basic,College,1/27/11,Retired,F,21073,Suburban,Divorced,106,25.0,54,1.0,3,Personal Auto,Personal L2,Offer1,Agent,508.8,SUV,Small,A
2566,VV82891,Washington,4462.997006,Yes,Basic,Bachelor,1/30/11,Unemployed,F,0,Suburban,Single,73,35.0,52,3.0,5,Personal Auto,Personal L1,Offer1,Web,350.4,Two-Door Car,Medsize,A
2580,JX50334,California,2004.350666,Yes,Basic,College,2/22/11,Unemployed,F,0,Suburban,Divorced,66,16.0,35,4.0,1,Corporate Auto,Corporate L3,Offer1,Branch,316.8,Four-Door Car,Small,A
2590,KH58171,California,2551.226692,Yes,Basic,Master,1/19/11,Employed,M,79751,Suburban,Married,63,15.0,67,0.0,1,Personal Auto,Personal L3,Offer3,Web,392.235698,Two-Door Car,Small,
2594,CJ51511,Arizona,13466.92071,Yes,Basic,High School or Below,2/23/11,Disabled,F,11432,Suburban,Married,119,11.0,9,0.0,2,Corporate Auto,Corporate L3,Offer2,Agent,571.2,SUV,Small,A
2612,UH79028,Nevada,5780.182197,Yes,Basic,High School or Below,2/26/11,Employed,M,51066,Suburban,Single,74,23.0,0,0.0,8,Personal Auto,Personal L2,Offer2,Call Center,787.993313,Four-Door Car,Medsize,A
2621,MS46793,Oregon,2393.915369,Yes,Basic,College,1/31/11,Unemployed,M,0,Suburban,Single,70,24.0,10,0.0,1,Personal Auto,Personal L3,Offer1,Branch,425.266308,Four-Door Car,Medsize,
2622,BB41401,Arizona,6005.214792,Yes,Extended,High School or Below,1/12/11,Employed,M,26876,Suburban,Single,76,17.0,72,0.0,8,Personal Auto,Personal L3,Offer1,Agent,364.8,Four-Door Car,Medsize,
2632,JH58282,California,7200.664877,Yes,Basic,College,1/26/11,Unemployed,F,0,Suburban,Married,66,16.0,77,0.0,2,Personal Auto,Personal L3,Offer2,Agent,316.8,Four-Door Car,Medsize,
2633,MP95255,California,3919.366722,Yes,Extended,High School or Below,1/5/11,Employed,F,66676,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal L1,Offer3,Agent,558.099357,Four-Door Car,Small,A
2637,LB59405,California,5979.724161,Yes,Extended,High School or Below,2/7/11,Employed,F,57693,Suburban,Divorced,76,16.0,56,0.0,3,Personal Auto,Personal L2,Offer2,Agent,547.2,Four-Door Car,Medsize,A
2660,NQ67659,Nevada,33473.34946,Yes,Basic,Bachelor,1/11/11,Employed,F,33190,Suburban,Divorced,106,18.0,95,0.0,2,Personal Auto,Personal L2,Offer1,Web,508.8,SUV,Medsize,
2662,NK27819,Arizona,5926.729379,Yes,Extended,College,1/25/11,Retired,M,23091,Suburban,Married,96,28.0,90,5.0,5,Personal Auto,Personal L3,Offer1,Agent,460.8,Four-Door Car,Medsize,A
2667,ZJ29643,Washington,6265.343299,Yes,Extended,Doctor,1/13/11,Unemployed,F,0,Suburban,Married,84,18.0,25,1.0,4,Personal Auto,Personal L3,Offer1,Agent,481.025786,Four-Door Car,Medsize,
2672,RA65645,California,8564.768226,Yes,Basic,High School or Below,2/17/11,Employed,M,95697,Rural,Married,107,29.0,29,0.0,9,Personal Auto,Personal L2,Offer2,Agent,178.006524,Sports Car,Medsize,A
2678,ZE62067,Arizona,8509.850887,Yes,Basic,Master,1/31/11,Disabled,M,26057,Suburban,Divorced,74,3.0,63,0.0,2,Corporate Auto,Corporate L3,Offer1,Call Center,523.888845,Four-Door Car,Small,
2680,DT82702,Arizona,7200.664877,Yes,Basic,College,1/26/11,Unemployed,F,0,Suburban,Married,66,16.0,77,0.0,2,Personal Auto,Personal L3,Offer2,Agent,316.8,Four-Door Car,Medsize,
2685,JH91579,Oregon,6846.150323,Yes,Extended,Bachelor,1/27/11,Unemployed,F,0,Suburban,Divorced,95,13.0,20,0.0,5,Personal Auto,Personal L2,Offer1,Call Center,456.0,Two-Door Car,Large,A
2696,WF44706,Oregon,6005.214792,Yes,Extended,High School or Below,1/12/11,Employed,M,26876,Suburban,Single,76,17.0,72,0.0,8,Personal Auto,Personal L3,Offer1,Agent,364.8,Four-Door Car,Medsize,
2698,NN87570,Oregon,6057.07208,Yes,Extended,Bachelor,2/14/11,Retired,M,27681,Suburban,Married,83,13.0,62,0.0,9,Corporate Auto,Corporate L3,Offer2,Agent,398.4,Two-Door Car,Medsize,
2702,LZ35469,California,2582.408525,Yes,Basic,Bachelor,2/14/11,Employed,F,76731,Urban,Married,64,2.0,68,0.0,1,Personal Auto,Personal L2,Offer2,Agent,201.455005,Four-Door Car,Medsize,
2703,WC22220,Arizona,2616.613903,Yes,Basic,College,2/25/11,Employed,M,72302,Suburban,Divorced,66,6.0,27,0.0,1,Corporate Auto,Corporate L2,Offer1,Agent,316.8,Two-Door Car,Medsize,A
2720,TL44525,California,2619.337376,Yes,Basic,Bachelor,2/5/11,Employed,M,78618,Urban,Divorced,66,7.0,56,0.0,1,Corporate Auto,Corporate L1,Offer1,Agent,225.578841,Two-Door Car,Medsize,
2745,XP47431,Arizona,5470.060561,Yes,Extended,Bachelor,2/17/11,Employed,F,54507,Suburban,Married,138,20.0,11,0.0,1,Personal Auto,Personal L1,Offer2,Agent,702.990032,,,A
2751,LB19360,Nevada,4170.687348,Yes,Basic,Master,1/17/11,Employed,F,29462,Suburban,Single,107,28.0,23,1.0,1,Personal Auto,Personal L1,Offer2,Branch,513.6,SUV,Large,
2753,ZL73902,Nevada,3265.156348,Yes,Extended,Bachelor,1/26/11,Employed,F,25820,Suburban,Divorced,82,10.0,69,0.0,1,Personal Auto,Personal L3,Offer1,Agent,393.6,Four-Door Car,Medsize,A
2762,TN79733,Oregon,16468.22079,Yes,Basic,High School or Below,1/27/11,Unemployed,F,0,Suburban,Divorced,63,4.0,52,0.0,2,Personal Auto,Personal L2,Offer2,Agent,685.12694,Four-Door Car,Medsize,
2781,PA28328,California,3861.486269,Yes,Extended,College,1/6/11,Employed,F,93272,Urban,Married,95,3.0,54,0.0,1,Corporate Auto,Corporate L3,Offer2,Branch,281.110788,Four-Door Car,Medsize,
2782,MT23134,Oregon,5325.724541,Yes,Basic,High School or Below,2/21/11,Unemployed,M,0,Suburban,Married,73,17.0,44,0.0,7,Personal Auto,Personal L3,Offer2,Call Center,496.474767,Two-Door Car,Medsize,
2785,CR92802,California,2725.356404,Yes,Basic,Master,1/3/11,Employed,F,36650,Rural,Married,69,2.0,70,1.0,1,Special Auto,Special L2,Offer2,Web,56.60333,Four-Door Car,Large,
2792,CJ81799,Oregon,7462.926263,Yes,Extended,College,1/28/11,Employed,F,70263,Rural,Married,93,30.0,66,0.0,5,Personal Auto,Personal L2,Offer2,Call Center,7.345946,Two-Door Car,Small,
2813,CI95726,Nevada,3644.833554,Yes,Extended,High School or Below,1/15/11,Employed,F,82477,Suburban,Married,90,1.0,69,0.0,1,Personal Auto,Personal L3,Offer2,Agent,432.0,Two-Door Car,Large,
2830,FB77856,Nevada,3873.647046,Yes,Basic,College,1/20/11,Retired,M,28142,Suburban,Married,105,18.0,50,0.0,1,Personal Auto,Personal L3,Offer2,Agent,701.708239,Sports Car,Medsize,A
2831,YH23384,Arizona,24127.50402,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Medsize,
2834,AB96670,California,2393.915369,Yes,Basic,College,1/31/11,Unemployed,M,0,Suburban,Single,70,24.0,10,0.0,1,Personal Auto,Personal L1,Offer1,Branch,425.266308,Four-Door Car,Medsize,
2838,TD86744,Arizona,34611.37896,Yes,Basic,High School or Below,1/14/11,Employed,F,20090,Suburban,Married,109,10.0,59,0.0,2,Personal Auto,Personal L3,Offer2,Agent,523.2,Sports Car,Medsize,
2861,SO54368,Oregon,4686.469674,Yes,Basic,College,2/12/11,Employed,M,58089,Suburban,Married,118,31.0,83,0.0,1,Personal Auto,Personal L2,Offer1,Agent,566.4,SUV,Medsize,A
2865,FH77504,California,11009.13049,Yes,Premium,Bachelor,1/24/11,Employed,F,51643,Suburban,Single,283,16.0,43,0.0,1,Personal Auto,Personal L3,Offer2,Agent,1358.4,Luxury Car,Medsize,A
2872,IO14680,Oregon,8838.085637,Yes,Basic,Bachelor,1/21/11,Employed,M,82664,Rural,Married,114,24.0,10,3.0,9,Corporate Auto,Corporate L3,Offer2,Agent,133.425609,SUV,Medsize,A
2876,UH62254,Oregon,21423.63723,Yes,Basic,Bachelor,1/3/11,Unemployed,M,0,Suburban,Married,65,9.0,31,0.0,2,Personal Auto,Personal L2,Offer2,Agent,312.0,Two-Door Car,Medsize,
2884,XW63353,Oregon,6689.022728,Yes,Extended,High School or Below,2/13/11,Employed,M,56980,Suburban,Married,84,33.0,70,0.0,7,Personal Auto,Personal L3,Offer2,Agent,599.000883,Two-Door Car,Medsize,
2899,WY57101,Arizona,4014.453113,Yes,Extended,Doctor,1/8/11,Employed,F,37384,Suburban,Married,99,9.0,17,0.0,1,Personal Auto,Personal L3,Offer2,Agent,475.2,Four-Door Car,Medsize,
2900,KU29408,Washington,9075.768214,Yes,Basic,Master,1/26/11,Employed,M,37722,Rural,Single,116,8.0,23,0.0,8,Corporate Auto,Corporate L3,Offer1,Agent,158.077504,Sports Car,Medsize,
2902,MM90239,Oregon,6369.262355,Yes,Extended,High School or Below,1/20/11,Employed,M,34498,Suburban,Single,83,30.0,72,0.0,7,Personal Auto,Personal L1,Offer2,Branch,398.4,Two-Door Car,Small,A
2909,QT90140,Arizona,5332.462694,Yes,Basic,Doctor,2/22/11,Employed,F,68931,Urban,Married,66,32.0,30,0.0,7,Personal Auto,Personal L2,Offer2,Branch,309.577946,Four-Door Car,Medsize,A
2910,KR89806,Oregon,16468.22079,Yes,Basic,High School or Below,1/27/11,Unemployed,F,0,Suburban,Divorced,63,4.0,52,0.0,2,Personal Auto,Personal L1,Offer2,Agent,685.12694,Four-Door Car,Medsize,
2911,FQ24929,Oregon,5479.555081,Yes,Basic,Master,1/13/11,Employed,M,56005,Suburban,Married,68,31.0,30,1.0,3,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Small,A
2914,YC69616,Arizona,2719.506996,Yes,Basic,College,1/24/11,Retired,F,14030,Suburban,Married,72,11.0,3,0.0,1,Personal Auto,Personal L3,Offer2,Branch,345.6,Two-Door Car,Large,
2922,BQ32117,California,12731.95161,Yes,Basic,Doctor,1/14/11,Employed,M,40870,Suburban,Married,105,3.0,56,0.0,2,Personal Auto,Personal L1,Offer1,Agent,504.0,SUV,Large,
2932,DS34823,Arizona,4250.282624,Yes,Basic,High School or Below,1/18/11,Unemployed,F,0,Suburban,Single,61,17.0,1,1.0,7,Personal Auto,Personal L2,Offer1,Agent,292.8,Four-Door Car,Small,A
2934,PK87824,California,3096.511217,Yes,Extended,College,2/12/11,Employed,F,21604,Suburban,Divorced,79,14.0,28,0.0,1,Corporate Auto,Corporate L3,Offer1,Branch,379.2,Four-Door Car,Medsize,
2935,XV84099,Arizona,5504.139033,Yes,Basic,Bachelor,2/8/11,Unemployed,F,0,Suburban,Married,73,18.0,45,0.0,5,Corporate Auto,Corporate L1,Offer1,Call Center,350.4,Four-Door Car,Medsize,A
2956,ZV43428,Arizona,27789.69235,Yes,Extended,Bachelor,1/20/11,Employed,F,33806,Urban,Divorced,89,32.0,59,0.0,2,Special Auto,Special L3,Offer2,Web,395.729716,Four-Door Car,Medsize,A
2966,QO56662,Arizona,2551.226692,Yes,Basic,Master,1/19/11,Employed,M,79751,Suburban,Married,63,15.0,67,0.0,1,Personal Auto,Personal L3,Offer3,Web,392.235698,Two-Door Car,Small,A
2967,FL55134,Nevada,10408.96865,Yes,Basic,High School or Below,2/18/11,Retired,M,20228,Suburban,Divorced,101,3.0,43,1.0,2,Personal Auto,Personal L3,Offer1,Branch,523.815839,SUV,Medsize,A
2975,CE11667,Oregon,7582.113842,Yes,Basic,College,2/3/11,Employed,M,64801,Urban,Married,64,23.0,19,0.0,2,Corporate Auto,Corporate L3,Offer2,Web,268.471802,Four-Door Car,Medsize,A
2982,DG30586,Oregon,2867.312197,Yes,Extended,Bachelor,1/3/11,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A
2992,EC28314,California,4984.618655,Yes,Basic,Bachelor,1/11/11,Employed,M,86305,Rural,Married,62,1.0,99,0.0,5,Personal Auto,Personal L2,Offer2,Call Center,80.73124,Four-Door Car,Medsize,
3027,RH72839,Nevada,4669.22664,Yes,Premium,High School or Below,2/14/11,Employed,F,76157,Suburban,Married,116,15.0,80,0.0,1,Personal Auto,Personal L1,Offer2,Call Center,556.8,Two-Door Car,Small,
3033,KS89479,Oregon,9095.049868,Yes,Basic,College,1/11/11,Employed,M,37937,Suburban,Married,116,11.0,42,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,556.8,SUV,Medsize,
3041,XI52305,California,4984.618655,Yes,Basic,Bachelor,1/11/11,Employed,M,86305,Rural,Married,62,1.0,99,0.0,5,Personal Auto,Personal L3,Offer2,Call Center,80.73124,Four-Door Car,Medsize,
3042,PU73501,Arizona,8622.835375,Yes,Basic,Bachelor,2/18/11,Employed,M,97361,Suburban,Single,73,6.0,85,0.0,2,Personal Auto,Personal L1,Offer1,Agent,350.4,Four-Door Car,Medsize,
3045,VF72557,Oregon,4772.943848,Yes,Extended,High School or Below,2/18/11,Retired,M,20993,Suburban,Divorced,133,35.0,90,0.0,1,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,Medsize,A
3047,KU85991,California,2592.437797,Yes,Basic,High School or Below,1/2/11,Employed,M,72421,Suburban,Married,65,8.0,23,0.0,1,Corporate Auto,Corporate L3,Offer2,Call Center,312.0,Four-Door Car,Small,
3054,LZ19268,California,11638.89947,Yes,Basic,College,1/26/11,Medical Leave,F,25370,Suburban,Married,102,10.0,77,0.0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,Sports Car,Large,
3061,VM66678,Oregon,14024.35839,Yes,Premium,High School or Below,2/19/11,Employed,F,81872,Rural,Married,115,10.0,55,0.0,2,Personal Auto,Personal L2,Offer2,Web,256.43803,Four-Door Car,Medsize,
3065,LH91968,Oregon,8838.085637,Yes,Basic,Bachelor,1/21/11,Employed,M,82664,Rural,Married,114,24.0,10,3.0,9,Corporate Auto,Corporate L3,Offer2,Agent,133.425609,SUV,Medsize,
3073,OR78439,Arizona,8658.863813,Yes,Basic,College,2/7/11,Employed,M,62464,Urban,Married,109,23.0,45,0.0,4,Corporate Auto,Corporate L3,Offer2,Agent,400.181882,Sports Car,Medsize,A
3080,XB27698,Oregon,8622.835375,Yes,Basic,Bachelor,2/18/11,Employed,M,97361,Suburban,Single,73,6.0,85,0.0,2,Personal Auto,Personal L1,Offer1,Agent,350.4,Four-Door Car,Medsize,A
3081,CX34236,Oregon,9095.049868,Yes,Basic,College,1/11/11,Employed,M,37937,Suburban,Married,116,11.0,42,0.0,5,Personal Auto,Personal L2,Offer2,Call Center,556.8,,,
3082,FB84235,Oregon,5498.940679,Yes,Basic,College,2/5/11,Medical Leave,M,22520,Suburban,Married,73,17.0,64,0.0,3,Personal Auto,Personal L2,Offer1,Branch,350.4,Four-Door Car,Medsize,A
3085,AG47947,Washington,14024.35839,Yes,Premium,High School or Below,2/19/11,Employed,F,81872,Rural,Married,115,10.0,55,0.0,2,Personal Auto,Personal L3,Offer2,Web,256.43803,Four-Door Car,Medsize,
3098,GK67747,Washington,4386.277558,Yes,Basic,College,2/11/11,Retired,M,10621,Suburban,Single,67,28.0,22,0.0,5,Special Auto,Special L3,Offer1,Agent,321.6,Four-Door Car,Medsize,A
3101,FU51754,Arizona,5568.947534,Yes,Extended,High School or Below,1/1/11,Unemployed,M,0,Suburban,Single,79,21.0,53,1.0,7,Personal Auto,Personal L2,Offer1,Agent,407.440238,Two-Door Car,Medsize,A
3123,SY86059,California,3731.504584,Yes,Extended,High School or Below,2/24/11,Unemployed,F,0,Suburban,Married,96,31.0,34,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,460.8,Four-Door Car,Large,A
3124,SB66770,Arizona,14435.67365,Yes,Premium,Master,1/26/11,Employed,M,60880,Rural,Married,119,25.0,89,0.0,2,Corporate Auto,Corporate L2,Offer1,Agent,109.906628,Two-Door Car,Medsize,A
3136,ZU74482,Oregon,7507.455372,Yes,Basic,College,2/6/11,Employed,M,60920,Urban,Single,64,10.0,61,0.0,2,Personal Auto,Personal L3,Offer2,Agent,231.201886,Two-Door Car,Medsize,
3150,ZU30804,California,5498.940679,Yes,Basic,College,2/5/11,Medical Leave,M,22520,Suburban,Married,73,17.0,64,0.0,3,Personal Auto,Personal L3,Offer1,Branch,350.4,Four-Door Car,Medsize,
3159,AA35519,Arizona,8002.308333,Yes,Basic,College,1/11/11,Unemployed,F,0,Suburban,Married,107,3.0,65,0.0,3,Personal Auto,Personal L2,Offer1,Agent,513.6,SUV,Medsize,A
3172,OB49075,Arizona,4458.113369,Yes,Basic,Bachelor,1/2/11,Retired,M,17622,Suburban,Divorced,65,1.0,36,1.0,3,Personal Auto,Personal L3,Offer1,Agent,312.0,Four-Door Car,Medsize,A
3188,UV86903,California,4462.997006,Yes,Basic,Bachelor,1/30/11,Unemployed,F,0,Suburban,Single,73,35.0,52,3.0,5,Personal Auto,Personal L3,Offer1,Web,350.4,Two-Door Car,Medsize,
3200,SE15781,California,2396.219292,Yes,Basic,Bachelor,1/10/11,Unemployed,F,0,Suburban,Married,66,6.0,71,2.0,1,Corporate Auto,Corporate L1,Offer2,Call Center,433.160284,Four-Door Car,Large,
3227,LA14484,Nevada,2227.072755,Yes,Basic,High School or Below,1/5/11,Retired,M,27972,Suburban,Married,61,7.0,38,0.0,1,Special Auto,Special L1,Offer3,Web,292.8,Four-Door Car,Medsize,A
3228,SE72928,California,9075.768214,Yes,Basic,Master,1/26/11,Employed,M,37722,Rural,Single,116,8.0,23,0.0,8,Personal Auto,Personal L1,Offer1,Agent,158.077504,Sports Car,Medsize,A
3231,DW96592,California,8044.872393,Yes,Basic,Bachelor,2/19/11,Employed,M,71391,Urban,Married,67,29.0,39,0.0,2,Personal Auto,Personal L3,Offer2,Agent,284.000172,Four-Door Car,Medsize,
3234,UQ30615,California,7582.113842,Yes,Basic,College,2/3/11,Employed,M,64801,Urban,Married,64,23.0,19,0.0,2,Corporate Auto,Corporate L3,Offer2,Web,268.471802,Four-Door Car,Medsize,A
3241,QE13586,California,6366.225775,Yes,Extended,High School or Below,1/7/11,Employed,M,44368,Suburban,Married,80,5.0,72,0.0,3,Personal Auto,Personal L2,Offer2,Call Center,384.0,Two-Door Car,Large,
3251,FR12423,Oregon,24127.50402,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Agent,511.2,Four-Door Car,Medsize,A
3255,OY95739,Nevada,12298.6863,Yes,Basic,High School or Below,2/20/11,Medical Leave,M,17101,Suburban,Single,113,1.0,88,0.0,2,Corporate Auto,Corporate L3,Offer1,Call Center,542.4,SUV,Medsize,A
3260,YC80498,California,4770.550911,Yes,Basic,College,2/1/11,Medical Leave,F,12964,Suburban,Single,65,2.0,37,0.0,4,Personal Auto,Personal L1,Offer1,Web,362.774545,Two-Door Car,Medsize,A
3263,ZL37444,California,10972.06778,Yes,Extended,Doctor,1/18/11,Employed,M,24164,Suburban,Divorced,137,2.0,40,0.0,5,Personal Auto,Personal L3,Offer2,Agent,657.6,Sports Car,Medsize,A
3266,BD53342,Washington,3096.511217,Yes,Extended,College,2/12/11,Employed,F,21604,Suburban,Divorced,79,14.0,28,0.0,1,Personal Auto,Personal L2,Offer1,Branch,379.2,Four-Door Car,Medsize,
3268,LK90215,Oregon,2647.519741,Yes,Basic,College,2/20/11,Employed,M,37876,Urban,Single,69,13.0,15,0.0,1,Personal Auto,Personal L3,Offer2,Agent,300.056383,Four-Door Car,Medsize,
3269,NB54665,Arizona,2514.59196,Yes,Basic,High School or Below,2/14/11,Employed,F,43860,Rural,Single,65,15.0,58,0.0,1,Corporate Auto,Corporate L1,Offer2,Agent,156.124914,Four-Door Car,Medsize,A
3277,UV89077,Oregon,11638.89947,Yes,Basic,College,1/26/11,Medical Leave,F,25370,Suburban,Married,102,10.0,77,0.0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,Sports Car,Large,A
3287,VQ82774,California,16301.9676,Yes,Extended,Master,2/17/11,Retired,F,19614,Suburban,Married,85,21.0,32,0.0,2,Personal Auto,Personal L2,Offer2,Agent,574.024018,Two-Door Car,Medsize,A
3295,EP46328,California,5555.830205,Yes,Basic,Bachelor,2/6/11,Employed,M,74015,Suburban,Single,72,12.0,61,0.0,6,Personal Auto,Personal L1,Offer2,Call Center,471.443077,Four-Door Car,Small,
3298,WG39961,Oregon,3919.366722,Yes,Extended,High School or Below,1/5/11,Employed,F,66676,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal L1,Offer3,Agent,558.099357,Four-Door Car,Small,
3299,EM78211,Oregon,2659.70565,Yes,Extended,College,2/19/11,Unemployed,F,0,Suburban,Divorced,87,4.0,4,3.0,1,Special Auto,Special L3,Offer2,Agent,420.041981,,,A
3306,IW70308,Oregon,8257.666512,Yes,Basic,Bachelor,1/12/11,Disabled,F,23815,Suburban,Married,73,4.0,47,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,424.330166,Four-Door Car,Medsize,A
3319,VP57785,Oregon,4770.550911,Yes,Basic,College,2/1/11,Medical Leave,F,12964,Suburban,Single,65,2.0,37,0.0,4,Personal Auto,Personal L1,Offer1,Web,362.774545,Two-Door Car,Medsize,A
3329,DX65548,Arizona,4834.710493,Yes,Basic,College,1/31/11,Employed,F,38713,Suburban,Divorced,66,31.0,69,4.0,6,Personal Auto,Personal L1,Offer2,Call Center,316.8,Four-Door Car,Medsize,A
3338,AM26717,California,3123.080994,Yes,Basic,Bachelor,2/19/11,Unemployed,M,0,Suburban,Married,101,1.0,83,4.0,1,Personal Auto,Personal L1,Offer1,Agent,960.115399,SUV,Large,A
3344,IJ21010,Arizona,5015.009472,Yes,Extended,Bachelor,2/3/11,Employed,F,48567,Suburban,Single,130,12.0,15,0.0,1,Personal Auto,Personal L2,Offer2,Agent,624.0,,,
3346,UY18770,California,10179.71704,Yes,Premium,Bachelor,1/5/11,Retired,F,14290,Suburban,Married,271,20.0,40,0.0,1,Personal Auto,Personal L3,Offer1,Agent,1300.8,Luxury SUV,Medsize,
3376,RU94434,Oregon,12157.32992,Yes,Premium,High School or Below,2/27/11,Employed,M,57449,Suburban,Single,103,6.0,28,0.0,2,Personal Auto,Personal L3,Offer1,Agent,494.4,Four-Door Car,Medsize,
3390,RN48574,California,6273.911874,Yes,Extended,College,2/16/11,Retired,F,18577,Suburban,Divorced,86,21.0,76,0.0,6,Corporate Auto,Corporate L3,Offer1,Branch,412.8,Four-Door Car,Medsize,A
3391,CX22458,California,9075.768214,Yes,Basic,Master,1/26/11,Employed,M,37722,Rural,Single,116,8.0,23,0.0,8,Personal Auto,Personal L3,Offer1,Agent,158.077504,,,
3402,XY36764,California,2771.045031,Yes,Basic,College,1/11/11,Employed,F,50071,Rural,Single,71,3.0,32,0.0,1,Personal Auto,Personal L2,Offer2,Agent,18.918935,Two-Door Car,Medsize,
3405,LC59148,Washington,5597.12496,Yes,Extended,High School or Below,1/27/11,Employed,F,37995,Suburban,Married,139,16.0,50,0.0,1,Personal Auto,Personal L1,Offer1,Branch,667.2,SUV,Medsize,
3407,TY59231,California,5015.009472,Yes,Extended,Bachelor,2/3/11,Employed,F,48567,Suburban,Single,130,12.0,15,0.0,1,Personal Auto,Personal L3,Offer2,Agent,624.0,SUV,Medsize,A
3408,BK76107,Oregon,14024.35839,Yes,Premium,High School or Below,2/19/11,Employed,F,81872,Rural,Married,115,10.0,55,0.0,2,Personal Auto,Personal L1,Offer2,Web,256.43803,Four-Door Car,Medsize,A
3410,TW94555,Nevada,5389.499465,Yes,Extended,College,1/7/11,Employed,M,66429,Rural,Married,136,35.0,93,0.0,1,Personal Auto,Personal L3,Offer2,Agent,57.712985,Sports Car,Medsize,
3417,ND68993,Nevada,33473.34946,Yes,Basic,Bachelor,1/11/11,Employed,F,33190,Suburban,Divorced,106,18.0,95,0.0,2,Personal Auto,Personal L3,Offer1,Web,508.8,SUV,Medsize,
3425,VB69838,Oregon,41787.90343,Yes,Premium,High School or Below,1/31/11,Employed,F,46587,Suburban,Divorced,119,34.0,74,2.0,2,Personal Auto,Personal L3,Offer1,Call Center,571.2,Four-Door Car,Medsize,A
3427,WW87934,Arizona,8257.666512,Yes,Basic,Bachelor,1/12/11,Disabled,F,23815,Suburban,Married,73,4.0,47,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,424.330166,Four-Door Car,Medsize,
3429,QX84402,California,25464.82059,Yes,Extended,College,2/1/11,Retired,F,13663,Suburban,Single,97,1.0,66,0.0,2,Corporate Auto,Corporate L3,Offer1,Branch,465.6,Four-Door Car,Small,A
3430,XG64081,Arizona,2759.978287,Yes,Basic,Bachelor,1/3/11,Employed,M,92296,Suburban,Married,69,4.0,65,0.0,1,Personal Auto,Personal L3,Offer2,Agent,331.2,Two-Door Car,Medsize,A
3431,IE85867,Arizona,41787.90343,Yes,Premium,High School or Below,1/31/11,Employed,F,46587,Suburban,Divorced,119,34.0,74,2.0,2,Personal Auto,Personal L3,Offer1,Call Center,571.2,Four-Door Car,Medsize,A
